                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3597,                 1.7071,                 1.1538,                0.95853,                0.39832,                0.87371,                0.50918,                 1.2123,                 1.9329,                 1.0432,             0.00054784,             0.00054784,             0.00054784
                      2,                 1.1913,                  0.862,                 1.0784,                0.86709,                0.63024,                0.70664,                0.40705,                 1.3291,                 1.0817,                 1.1732,              0.0010853,              0.0010853,              0.0010853
                      3,                 1.2066,                0.79285,                 1.1003,                0.86939,                 0.7046,                0.79787,                0.46792,                 1.2518,                 1.0177,                 1.1544,              0.0016044,              0.0016044,              0.0016044
                      4,                 1.1704,                0.70717,                 1.0899,                0.93703,                0.81135,                0.88304,                0.51396,                 1.2273,                0.67744,                 1.1312,              0.0015845,              0.0015845,              0.0015845
                      5,                 1.1561,                0.67133,                 1.0886,                0.90079,                0.84573,                0.89144,                0.54071,                 1.2234,                0.83426,                 1.1385,              0.0015845,              0.0015845,              0.0015845
                      6,                 1.1231,                0.62795,                 1.0752,                0.92554,                 0.8357,                0.89228,                0.58299,                 1.1144,                0.68376,                 1.0666,               0.001557,               0.001557,               0.001557
                      7,                 1.0937,                0.59611,                   1.06,                0.92117,                0.87721,                0.91776,                0.60185,                 1.0553,                0.53395,                 1.0345,              0.0015295,              0.0015295,              0.0015295
                      8,                 1.0798,                0.57745,                 1.0577,                0.91458,                0.88601,                0.92116,                0.58711,                 1.0946,                0.53774,                 1.0571,               0.001502,               0.001502,               0.001502
                      9,                 1.0545,                0.55425,                 1.0478,                0.93984,                0.87843,                0.92151,                0.62981,                 1.0342,                0.50075,                 1.0259,              0.0014745,              0.0014745,              0.0014745
                     10,                 1.0476,                0.55352,                 1.0448,                0.94445,                0.91687,                0.94416,                0.63754,                 1.0093,                0.47963,                 1.0089,               0.001447,               0.001447,               0.001447
                     11,                 1.0298,                 0.5349,                 1.0371,                0.94389,                0.90279,                0.94221,                0.63217,                 1.0398,                0.50552,                 1.0371,              0.0014195,              0.0014195,              0.0014195
                     12,                 1.0208,                0.52604,                 1.0342,                0.93146,                0.91006,                0.93289,                0.63194,                 1.0142,                0.48402,                 1.0214,              0.0013919,              0.0013919,              0.0013919
                     13,                 1.0192,                0.52161,                 1.0339,                0.92148,                0.90976,                0.92704,                0.63715,                 1.0094,                 0.4768,                 1.0163,              0.0013644,              0.0013644,              0.0013644
                     14,                 1.0069,                0.51482,                 1.0255,                0.95551,                0.90591,                0.95178,                0.65607,                0.98052,                0.50851,                 1.0059,              0.0013369,              0.0013369,              0.0013369
                     15,                 1.0045,                0.50654,                 1.0272,                0.95218,                0.91083,                0.94952,                0.65834,                 1.0002,                0.48043,                 1.0182,              0.0013094,              0.0013094,              0.0013094
                     16,                0.98873,                0.50462,                 1.0201,                0.96778,                0.91864,                0.95034,                0.66786,                0.95543,                0.44094,                0.99812,              0.0012819,              0.0012819,              0.0012819
                     17,                0.97734,                 0.4889,                 1.0113,                0.94173,                0.90254,                0.93259,                0.64511,                0.98235,                0.44367,                 1.0124,              0.0012544,              0.0012544,              0.0012544
                     18,                 0.9793,                0.48621,                  1.016,                0.95623,                0.92658,                0.96019,                0.66791,                0.96137,                0.42532,                0.99583,              0.0012269,              0.0012269,              0.0012269
                     19,                0.97251,                0.48687,                 1.0133,                0.95241,                0.93483,                0.95761,                0.67753,                0.94345,                0.41213,                0.99565,              0.0011994,              0.0011994,              0.0011994
                     20,                0.95763,                0.47328,                  1.006,                0.95006,                0.91308,                0.94977,                0.67668,                 0.9386,                0.43091,                0.99211,              0.0011719,              0.0011719,              0.0011719
                     21,                0.95729,                 0.4739,                 1.0063,                0.95408,                0.92084,                0.95456,                0.66798,                0.99677,                0.42434,                  1.006,              0.0011444,              0.0011444,              0.0011444
                     22,                0.95073,                0.46904,                 1.0028,                0.95687,                0.92431,                0.94968,                0.67372,                0.95602,                0.42603,                0.99821,              0.0011169,              0.0011169,              0.0011169
                     23,                0.93022,                0.45668,                0.99467,                0.94548,                0.93472,                 0.9515,                0.67959,                0.93352,                0.42078,                0.98909,              0.0010894,              0.0010894,              0.0010894
                     24,                0.94085,                0.46127,                 1.0006,                0.96736,                0.93237,                0.95487,                0.67703,                0.92853,                  0.397,                0.98371,              0.0010619,              0.0010619,              0.0010619
                     25,                0.92385,                0.44948,                0.99543,                0.96849,                0.92611,                0.95631,                0.68962,                0.92348,                0.39528,                0.98416,              0.0010344,              0.0010344,              0.0010344
                     26,                0.92871,                0.45317,                0.99461,                0.97501,                0.92967,                 0.9636,                0.69768,                 0.9188,                0.39266,                0.97707,              0.0010069,              0.0010069,              0.0010069
                     27,                 0.9226,                0.44714,                0.98961,                0.96145,                0.92285,                0.95877,                0.69887,                0.90411,                0.38221,                0.97374,             0.00097936,             0.00097936,             0.00097936
                     28,                0.91348,                0.44266,                0.99018,                0.96078,                 0.9192,                 0.9445,                0.67265,                 0.9208,                0.39572,                0.98828,             0.00095186,             0.00095186,             0.00095186
                     29,                 0.9183,                0.44208,                0.98878,                0.96688,                0.91978,                0.95103,                0.68845,                0.90922,                0.38364,                0.97012,             0.00092435,             0.00092435,             0.00092435
                     30,                0.90644,                0.43634,                0.98529,                0.97007,                0.93663,                0.96222,                0.70418,                0.89031,                0.36814,                0.96548,             0.00089685,             0.00089685,             0.00089685
                     31,                0.89266,                0.42724,                0.97977,                 0.9667,                  0.929,                0.96119,                0.70586,                0.89578,                0.38088,                0.97201,             0.00086934,             0.00086934,             0.00086934
                     32,                0.89938,                0.42806,                0.97864,                0.96475,                0.93681,                 0.9615,                0.71128,                0.89626,                0.37084,                0.96859,             0.00084184,             0.00084184,             0.00084184
                     33,                0.88462,                0.41983,                0.97657,                0.96227,                0.93508,                0.95863,                 0.7021,                0.90749,                0.38117,                0.97497,             0.00081433,             0.00081433,             0.00081433
                     34,                0.87691,                 0.4165,                0.97236,                0.97111,                0.92946,                0.95835,                0.69741,                0.89664,                0.36838,                 0.9674,             0.00078682,             0.00078682,             0.00078682
                     35,                 0.8835,                0.41888,                0.97463,                0.96253,                0.94095,                0.96589,                0.71332,                0.88542,                0.36475,                0.97229,             0.00075932,             0.00075932,             0.00075932
                     36,                0.87598,                0.41279,                0.97172,                0.98408,                0.93371,                0.96589,                0.71695,                0.87439,                0.35688,                0.96342,             0.00073181,             0.00073181,             0.00073181
                     37,                0.87003,                0.41098,                0.97031,                0.97207,                0.93648,                0.96813,                0.72005,                0.86517,                0.35911,                0.95088,             0.00070431,             0.00070431,             0.00070431
                     38,                0.85933,                0.40472,                0.96836,                0.96913,                0.92842,                0.96003,                0.71731,                0.87966,                0.35824,                0.96198,              0.0006768,              0.0006768,              0.0006768
                     39,                0.85576,                0.40315,                0.96406,                0.97511,                0.93227,                0.96575,                0.71871,                 0.8692,                0.35568,                0.95683,              0.0006493,              0.0006493,              0.0006493
                     40,                0.85447,                0.39939,                0.96722,                0.96746,                0.93099,                0.95729,                0.70369,                0.88884,                0.35773,                0.97539,             0.00062179,             0.00062179,             0.00062179
                     41,                0.85401,                0.40131,                 0.9622,                0.97617,                0.94052,                0.97023,                0.73459,                0.84643,                0.34054,                0.94988,             0.00059429,             0.00059429,             0.00059429
                     42,                0.85268,                0.39759,                0.96072,                0.96695,                0.93655,                0.96376,                0.71764,                0.89339,                0.35091,                0.97282,             0.00056678,             0.00056678,             0.00056678
                     43,                0.84637,                0.39597,                0.95744,                0.97809,                0.93877,                 0.9697,                0.73023,                0.85795,                0.34239,                 0.9545,             0.00053927,             0.00053927,             0.00053927
                     44,                0.83199,                0.38866,                0.95688,                0.97265,                0.94554,                0.96956,                0.72759,                0.84847,                0.34104,                0.95158,             0.00051177,             0.00051177,             0.00051177
                     45,                0.82762,                0.38454,                 0.9521,                0.96246,                0.94609,                0.96807,                0.73041,                0.84639,                0.34157,                 0.9461,             0.00048426,             0.00048426,             0.00048426
                     46,                0.82707,                0.38458,                0.95192,                0.96476,                0.94176,                0.96559,                0.72994,                0.84105,                0.33513,                0.94902,             0.00045676,             0.00045676,             0.00045676
                     47,                0.82778,                0.38438,                0.95631,                0.97188,                0.93961,                0.96612,                0.73985,                0.83721,                0.33224,                0.94601,             0.00042925,             0.00042925,             0.00042925
                     48,                0.81647,                0.37576,                0.94739,                0.97007,                0.93831,                0.96632,                0.72137,                0.86017,                0.33992,                0.96132,             0.00040175,             0.00040175,             0.00040175
                     49,                0.81252,                0.37531,                0.94756,                0.97139,                 0.9426,                0.96719,                0.73327,                0.83655,                0.33207,                0.95115,             0.00037424,             0.00037424,             0.00037424
                     50,                0.80513,                0.37002,                0.94634,                0.96611,                0.94841,                0.96923,                0.73306,                0.84204,                0.33383,                0.95117,             0.00034674,             0.00034674,             0.00034674
                     51,                0.75788,                 0.3254,                0.93302,                0.98038,                0.94039,                0.97084,                0.74378,                0.83618,                 0.3249,                0.94686,             0.00031923,             0.00031923,             0.00031923
                     52,                0.74783,                0.32315,                0.92905,                0.97014,                0.94304,                0.96529,                0.72857,                0.86442,                0.33526,                0.96039,             0.00029172,             0.00029172,             0.00029172
                     53,                0.74717,                0.31974,                0.92959,                0.96576,                0.94994,                0.97022,                 0.7479,                0.83401,                 0.3266,                0.94441,             0.00026422,             0.00026422,             0.00026422
                     54,                0.73655,                0.31586,                0.92376,                0.97391,                0.94914,                0.97003,                0.74459,                0.84031,                0.32807,                0.94731,             0.00023671,             0.00023671,             0.00023671
                     55,                0.73088,                0.31231,                0.92374,                0.97394,                 0.9484,                0.97369,                0.75038,                0.82722,                0.32367,                0.94262,             0.00020921,             0.00020921,             0.00020921
                     56,                0.72582,                0.31108,                0.92472,                0.97523,                0.95391,                0.97378,                 0.7517,                0.82858,                 0.3205,                0.94291,              0.0001817,              0.0001817,              0.0001817
                     57,                0.71957,                 0.3058,                0.91837,                0.97346,                0.94799,                0.97272,                0.75082,                0.82657,                0.31809,                0.94194,              0.0001542,              0.0001542,              0.0001542
                     58,                0.71188,                 0.3031,                0.91615,                0.97459,                0.95142,                0.97329,                 0.7511,                0.82663,                0.32053,                0.94288,             0.00012669,             0.00012669,             0.00012669
                     59,                0.71159,                0.29978,                0.91556,                0.97092,                 0.9491,                0.97199,                0.75555,                0.82087,                0.31902,                 0.9414,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     60,                  0.706,                0.30004,                0.91393,                0.97244,                0.94967,                0.97137,                0.75875,                0.81241,                0.31374,                0.93724,             7.1681e-05,             7.1681e-05,             7.1681e-05
