                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5499,                 1.6897,                 1.2357,                0.53908,                0.51549,                0.50409,                0.24727,                 1.5079,                 1.8002,                 1.2594,               0.000473,               0.000473,               0.000473
                      2,                 1.3806,                0.95699,                 1.1691,                0.49563,                0.39975,                0.41603,                0.20792,                 1.6668,                 1.5802,                 1.3681,             0.00093367,             0.00093367,             0.00093367
                      3,                 1.3722,                0.85867,                 1.1732,                0.68565,                0.36345,                 0.4087,                0.20909,                  1.657,                 1.6948,                 1.3267,              0.0013786,              0.0013786,              0.0013786
                      4,                 1.3411,                0.78307,                 1.1668,                0.52616,                0.55268,                0.52634,                0.27646,                 1.5246,                 1.0957,                  1.265,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.3091,                0.74481,                  1.149,                0.67761,                0.62447,                0.61611,                0.33703,                   1.38,                 1.0429,                 1.2142,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.2671,                0.70186,                 1.1298,                0.68661,                 0.6349,                0.65587,                0.35226,                 1.4116,                0.98114,                 1.1987,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.2415,                0.66754,                 1.1177,                0.67859,                0.57971,                0.61019,                0.35754,                 1.3363,                 0.9235,                 1.1786,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.2307,                0.65739,                 1.1123,                 0.7331,                0.65272,                0.68864,                0.39838,                 1.3558,                0.87951,                 1.1914,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.2098,                0.63163,                 1.1049,                0.75027,                0.63614,                0.68432,                0.37534,                  1.392,                0.83671,                 1.1812,               0.001264,               0.001264,               0.001264
                     10,                 1.1978,                 0.6244,                 1.0957,                0.72231,                0.66922,                0.70074,                 0.4092,                 1.2965,                0.76334,                 1.1488,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.1782,                0.61245,                 1.0899,                0.73446,                 0.6445,                0.67607,                0.40065,                 1.2971,                 0.7974,                 1.1662,              0.0012168,              0.0012168,              0.0012168
                     12,                 1.1693,                0.60168,                 1.0874,                 0.7659,                0.72366,                0.75625,                0.44292,                 1.2756,                0.74852,                 1.1417,              0.0011932,              0.0011932,              0.0011932
                     13,                 1.1545,                0.58615,                 1.0783,                0.75087,                0.68265,                0.71467,                0.43316,                  1.241,                0.76726,                  1.122,              0.0011696,              0.0011696,              0.0011696
                     14,                 1.1389,                0.58038,                 1.0748,                0.76275,                0.75849,                0.77623,                0.47511,                 1.2511,                0.74392,                 1.1321,              0.0011461,              0.0011461,              0.0011461
                     15,                 1.1309,                0.57121,                 1.0671,                0.77934,                0.74439,                0.75939,                0.47859,                 1.2051,                0.71634,                 1.1124,              0.0011225,              0.0011225,              0.0011225
                     16,                 1.1272,                0.56589,                 1.0643,                0.80389,                0.73751,                0.77351,                0.46529,                 1.2416,                0.72105,                 1.1298,              0.0010989,              0.0010989,              0.0010989
                     17,                   1.11,                0.55615,                 1.0604,                0.82216,                 0.8044,                0.82537,                0.50832,                 1.2151,                0.66692,                 1.1135,              0.0010753,              0.0010753,              0.0010753
                     18,                 1.1091,                0.54979,                 1.0571,                0.76183,                0.73381,                0.74043,                0.43961,                 1.2652,                0.86611,                 1.1587,              0.0010517,              0.0010517,              0.0010517
                     19,                 1.1051,                0.54689,                 1.0513,                0.76525,                0.76941,                0.77225,                0.47796,                 1.2118,                0.69825,                 1.1206,              0.0010282,              0.0010282,              0.0010282
                     20,                 1.0858,                0.53464,                 1.0483,                0.81414,                0.68812,                 0.7438,                0.45327,                  1.246,                0.77059,                 1.1384,              0.0010046,              0.0010046,              0.0010046
                     21,                 1.0826,                 0.5313,                 1.0461,                0.81316,                0.78666,                0.79134,                0.49532,                 1.1905,                0.68341,                  1.107,             0.00098101,             0.00098101,             0.00098101
