                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5483,                 1.6916,                  1.231,                0.57615,                0.51394,                0.52454,                0.26386,                 1.4911,                 1.8394,                 1.2623,               0.000473,               0.000473,               0.000473
                      2,                 1.3821,                0.96317,                 1.1683,                0.43725,                0.38117,                0.44732,                0.22435,                 1.6684,                 1.5413,                 1.3437,             0.00093367,             0.00093367,             0.00093367
                      3,                 1.3639,                  0.856,                 1.1721,                0.68472,                0.44267,                0.50131,                0.26446,                 1.5171,                 1.4666,                  1.269,              0.0013786,              0.0013786,              0.0013786
                      4,                 1.3475,                0.79802,                 1.1709,                0.90543,                0.51884,                0.58148,                0.30811,                 1.4625,                 1.0604,                 1.2452,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.3104,                 0.7465,                 1.1515,                0.65202,                0.59786,                0.61369,                0.33239,                 1.4107,                 1.0801,                 1.2363,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.2703,                0.70273,                 1.1343,                0.70419,                0.63013,                0.63546,                0.33235,                 1.4538,                0.88264,                 1.2315,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.2427,                 0.6725,                 1.1204,                0.60364,                0.60141,                0.58484,                0.33822,                 1.3673,                0.93451,                 1.1964,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.2299,                0.66152,                 1.1138,                0.68154,                0.68453,                0.68833,                0.38666,                 1.3278,                0.80988,                 1.1729,              0.0012875,              0.0012875,              0.0012875
                      9,                  1.207,                0.63359,                 1.1059,                0.77812,                0.69743,                0.75099,                0.42351,                  1.326,                0.77879,                 1.1676,               0.001264,               0.001264,               0.001264
                     10,                 1.1986,                 0.6251,                 1.0964,                0.70793,                0.70728,                0.71518,                0.41759,                 1.2957,                0.77648,                 1.1604,              0.0012404,              0.0012404,              0.0012404
